"period";"modularity_class";"avgIndegree";"avgOutdegree";"avgDegree";"avgBetweenness";"avgPageRank";"avgEigenvector"
"26";"8";"4,0256";"4,2949";"8,3205";"1047,5844495508218";"0,0004122834412809971";"0,02048560645720592"
"26";"9";"2,5000";"3,2895";"5,7895";"507,8999407843046";"0,00028550374534778316";"0,008090206415969014"
"26";"10";"5,1548";"5,2143";"10,3690";"1652,421201827056";"0,0005298573324556464";"0,02983648769622677"
"26";"11";"1,0000";"1,0000";"2,0000";"0";"0,0008929194601677009";"0,00044329159323839"
"26";"12";"0,5000";"0,5000";"1,0000";"0";"0,000190885852980235";"0,00019997672353331677"
"26";"13";"0,5000";"0,5000";"1,0000";"0";"0,000190885852980235";"0,00019997672353331677"
"27";"0";"3,6283";"3,8850";"7,5133";"1067,659363594979";"0,00040238183702614734";"0,015704975947124538"
"27";"1";"5,5354";"5,5657";"11,1010";"1838,0254386023341";"0,0004910988896702006";"0,03201362411414551"
"27";"2";"5,3704";"4,9630";"10,3333";"2011,8058216892534";"0,0004948658945272903";"0,02750858014038354"
"27";"3";"5,1792";"5,6416";"10,8208";"1724,3859566533763";"0,0005093639395979184";"0,03328083544449519"
"27";"4";"4,6250";"4,4280";"9,0530";"1872,7697400704458";"0,0004832901299924592";"0,022810174184223958"
"27";"5";"5,1429";"5,5306";"10,6735";"2190,4484938218343";"0,00047732145592331115";"0,02875319982736433"
"27";"6";"4,4603";"4,3016";"8,7619";"1414,0423018541221";"0,00040207890635374064";"0,019995451435612946"
"27";"7";"6,1753";"4,5979";"10,7732";"2041,5091801894189";"0,0006152295637700612";"0,03492620386897753"
"27";"8";"1,0000";"1,0000";"2,0000";"0";"0,0008314478192981654";"0,0004329601458611575"
"27";"9";"5,2937";"5,3175";"10,6111";"1469,925193470952";"0,0005082006792563558";"0,031732711498328514"
